rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id,rally_length
4921,1,00:40:48,73445,9,5,1,push/rush,0,0,1,6,-1.107317073,1.095208333,,,5,94.5,326.52,8,159.7,627.47,0,0,4920,4
4921,2,00:32:42,58878,0,1,0,drop,0,0,2,6,1.52195122,-0.6221875,,,8,123.4,731.57,8,146.5,264.78,0,0,4920,4
4921,3,00:35:50,64511,3,1,1,push/rush,0,1,1,6,-0.898780488,1.0321875,,,8,136.5,326.04,8,166.7,633.82,0,0,4920,4
4921,4,00:07:59,14394,1,2,0,defensive shot,0,1,2,10,-1.676829268,0.057083333,not pass over the net,1,8,198.1,700.65,8,132.6,259.51,0,0,4920,4
4922,1,00:43:18,77953,13,9,2,net shot,0,1,2,2,1.32195122,0.013177083,,,1,261.8,570.16,8,227.7,299.96,0,0,4921,13
4922,2,00:40:02,72066,8,5,0,clear,0,0,1,4,1.229268293,-1.4190625,,,8,161.4,738.32,8,188.4,301.48,0,0,4921,13
4922,3,00:57:26,103391,15,15,2,long service,0,0,1,4,-0.96097561,1.6059375,,,8,182.1,324.1,8,128.5,706.12,0,0,4921,13
4922,4,00:27:26,49393,9,7,0,net shot,0,0,2,7,0.22195122,-0.394947917,,,8,247,628.09,8,200.6,334.16,0,0,4921,13
4922,5,00:24:50,44706,8,7,2,net shot,0,1,2,7,0.134146341,0.237447917,,,8,219.4,291.36,8,145.6,732.08,0,0,4921,13
4922,6,00:25:34,46027,14,17,0,smash,0,0,2,8,0.746341463,1.138697917,,,8,111.8,210.43,8,190.7,676.88,0,0,4921,13
4922,7,00:38:35,69460,5,6,2,defensive shot,0,1,2,7,-0.756097561,-0.36859375,,,8,185.3,680.91,8,105.4,233.83,0,0,4921,13
4922,8,00:22:09,39870,0,2,0,clear,1,0,1,3,-1.192682927,-1.4259375,,,8,150.6,693.33,8,177,353.1,0,0,4921,13
