,rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id,rally_length
0,4921,1,00:29:02,52282,19,20,27,lob,0.0,1,1.0,3,1.1280487804878048,1.6283333333333332,,,2,269.9,393.54,8,214.4,653.75,0,0,4920,46
1,4921,2,00:32:01,57647,2,0,7,smash,1.0,0,2.0,5,1.0353658536585364,1.0599999999999998,,,8,229.5,245.84,8,228.2,710.41,0,0,4920,46
2,4921,3,00:23:27,42227,16,15,27,clear,0.0,0,1.0,8,0.479268292682927,1.17984375,,,8,163.8,290.36,8,209.7,611.26,0,0,4920,46
3,4921,4,00:15:16,27481,11,6,7,clear,0.0,0,1.0,3,-0.8951219512195122,-1.3766145833333334,,,8,236.2,756.5,8,194.4,273.59,0,0,4920,46
4,4921,5,00:20:52,37588,12,13,27,clear,0.0,0,1.0,6,-0.9378048780487804,1.3617708333333336,,,8,205.0,204.99,8,167.8,630.18,0,0,4920,46
5,4921,6,00:46:45,84173,14,13,7,defensive shot,0.0,1,1.0,8,0.5707317073170733,1.4910416666666666,,,8,148.3,287.31,8,237.2,725.79,0,0,4920,46
6,4921,7,00:19:00,34220,11,11,27,defensive shot,0.0,0,1.0,6,-1.025609756097561,1.3395312500000005,,,8,108.1,297.45,4,99.3,770.16,0,0,4920,46
7,4921,8,00:09:02,16265,6,1,7,drop,0.0,0,2.0,1,-0.9560975609756098,-0.4218229166666667,,,4,92.7,781.84,8,142.1,315.95,0,0,4920,46
8,4921,9,00:20:02,36076,11,13,27,short service,0.0,0,2.0,7,-0.2914634146341464,-0.3180208333333333,,,8,198.5,665.73,8,129.2,252.19,0,0,4920,46
9,4921,10,00:17:14,31046,11,7,7,smash,1.0,0,2.0,6,0.996341463414634,-1.02359375,,,8,169.3,690.61,8,143.1,303.1,0,0,4920,46
10,4921,11,00:36:08,65069,4,2,27,long service,0.0,0,1.0,9,0.3560975609756096,-1.5988020833333334,,,8,170.0,663.31,8,223.5,237.63,0,0,4920,46
11,4921,12,00:47:18,85160,15,13,7,short service,0.0,1,2.0,7,-0.4975609756097562,0.5412499999999998,,,8,182.2,315.7,8,122.8,675.31,0,0,4920,46
12,4921,13,01:19:59,143988,19,11,27,long service,0.0,0,1.0,9,-0.6658536585365853,-1.5480208333333334,,,8,199.6,661.68,8,121.6,249.79,0,0,4920,46
13,4921,14,00:32:55,59262,4,0,7,defensive shot,0.0,1,2.0,7,-0.4939024390243902,0.3519270833333336,,,8,140.6,299.09,8,142.0,733.88,0,0,4920,46
14,4921,15,00:47:17,85128,11,3,27,defensive shot,0.0,0,1.0,6,-1.0317073170731708,1.3064583333333335,,,8,123.7,283.32,9,145.5,781.05,0,0,4920,46
15,4921,16,00:45:34,82049,17,10,7,clear,0.0,0,1.0,8,0.7134146341463414,1.2971354166666664,,,9,126.8,193.67,8,190.4,681.28,0,0,4920,46
16,4921,17,00:10:53,19599,5,4,27,clear,0.0,0,1.0,4,-1.103658536585366,1.5694270833333337,,,8,133.9,269.3,9,135.2,764.12,0,0,4920,46
17,4921,18,00:06:37,11929,3,0,7,clear,0.0,0,1.0,5,-1.225609756097561,-1.32890625,,,9,142.0,762.5,8,156.2,325.96,0,0,4920,46
18,4921,19,00:43:06,77604,9,8,27,push/rush,0.0,0,1.0,4,1.2646341463414632,-1.3944791666666667,,,8,228.4,619.57,8,181.0,303.2,0,0,4920,46
19,4921,20,00:17:16,31086,11,7,7,push/rush,0.0,0,1.0,6,1.2731707317073169,-1.16921875,,,8,233.1,611.15,8,177.3,302.88,0,0,4920,46
20,4921,21,00:30:47,55437,21,20,27,drop,0.0,1,2.0,1,1.5341463414634149,0.3948958333333336,,,8,206.4,264.15,8,158.7,679.67,0,0,4920,46
21,4921,22,00:36:55,66458,7,7,7,drop,0.0,0,2.0,6,-1.1012195121951218,0.8175000000000002,,,8,242.6,213.74,8,235.5,615.64,0,0,4920,46
22,4921,23,00:10:53,19599,5,4,27,clear,0.0,0,1.0,4,-1.103658536585366,1.5694270833333337,,,8,133.9,269.3,9,135.2,764.12,0,0,4920,46
23,4921,24,00:22:51,41144,14,15,7,drop,0.0,0,2.0,8,0.8634146341463416,-0.5846354166666666,,,9,167.9,779.69,8,168.5,252.41,0,0,4920,46
24,4921,25,00:07:41,13836,1,2,27,clear,0.0,0,1.0,6,-0.9865853658536586,1.49734375,,,8,120.2,229.26,8,137.8,697.82,0,0,4920,46
25,4921,26,00:25:34,46028,18,17,7,drop,1.0,0,2.0,8,0.5060975609756098,-0.6347395833333334,,,8,150.4,720.39,8,157.9,311.39,0,0,4920,46
26,4921,27,00:40:28,72846,8,6,27,defensive shot,0.0,1,2.0,1,-1.0158536585365854,-0.2898958333333334,,,8,194.9,679.28,9,217.9,201.42,0,0,4920,46
27,4921,28,00:14:21,25835,9,6,7,smash,1.0,0,2.0,8,0.8621951219512194,-0.9253125,,,9,130.4,757.12,8,150.5,292.59,0,0,4920,46
28,4921,29,00:44:13,79607,7,3,27,long service,0.0,0,1.0,3,1.3207317073170732,1.6527083333333337,,,8,153.2,285.3,8,226.1,689.06,0,0,4920,46
29,4921,30,00:27:40,49817,20,18,7,clear,1.0,0,1.0,6,1.0707317073170732,-1.2026041666666667,,,8,124.9,749.6,8,135.8,301.42,0,0,4920,46
30,4921,31,00:50:04,90125,14,12,27,clear,0.0,0,1.0,3,-1.1207317073170733,-1.4900000000000002,,,8,130.6,710.53,8,178.5,239.14,0,0,4920,46
31,4921,32,00:21:10,38115,14,9,7,lob,0.0,1,1.0,9,0.7817073170731706,-1.44453125,,,8,109.4,595.03,8,168.9,297.73,0,0,4920,46
32,4921,33,00:42:16,76107,8,8,27,drop,0.0,0,2.0,2,1.1329268292682924,-0.3940625000000001,,,8,248.1,745.24,8,216.4,243.73,0,0,4920,46
33,4921,34,00:32:57,59328,4,0,7,drop,0.0,0,2.0,2,-1.3987804878048782,0.5198958333333336,,,8,112.1,217.57,8,165.7,679.46,0,0,4920,46
34,4921,35,00:07:06,12802,1,0,27,drop,1.0,0,2.0,7,-0.7707317073170732,-0.3602604166666667,,,8,155.7,682.33,8,210.3,229.34,0,0,4920,46
35,4921,36,00:27:44,49926,20,18,7,net shot,0.0,1,2.0,2,1.1914634146341463,-0.454375,,,8,141.5,661.3,8,129.1,301.3,0,0,4920,46
36,4921,37,00:56:10,101113,16,9,27,clear,0.0,0,2.0,3,1.4182926829268294,1.6031249999999997,,,8,211.2,220.26,8,196.9,699.97,0,0,4920,46
37,4921,38,00:19:40,35408,13,11,7,net shot,0.0,1,1.0,1,-0.9743902439024392,-0.2905729166666668,,,8,128.6,635.05,8,239.4,217.27,0,0,4920,46
38,4921,39,01:03:19,113978,1,3,27,net shot,0.0,0,2.0,7,0.9134146341463416,0.2278645833333333,,,8,222.3,357.52,8,166.7,670.92,0,0,4920,46
39,4921,40,00:32:01,57634,3,3,7,defensive shot,0.0,1,2.0,1,1.0414634146341462,0.3975000000000002,,,8,199.1,297.53,9,116.9,781.7,0,0,4920,46
40,4921,41,00:31:08,56058,21,21,27,drive,0.0,0,1.0,6,1.204878048780488,-0.99125,,,9,233.8,785.42,8,174.8,298.29,0,0,4920,46
41,4921,42,00:20:42,37283,14,8,7,net shot,0.0,0,2.0,2,1.1621951219512197,-0.1335937499999998,,,8,234.9,595.83,8,152.9,271.13,0,0,4920,46
42,4921,43,00:25:48,46444,17,18,27,clear,0.0,1,1.0,6,-1.1134146341463411,1.1370833333333337,,,8,201.9,250.02,7,145.6,583.95,0,0,4920,46
43,4921,44,00:37:31,67537,8,7,7,net shot,0.0,0,2.0,1,1.0146341463414632,0.1736458333333332,,,7,224.7,369.07,8,177.3,636.47,0,0,4920,46
44,4921,45,00:54:18,97762,18,15,27,push/rush,0.0,0,1.0,4,1.1341463414634143,-1.4583333333333333,,,8,241.8,625.02,8,122.3,220.16,0,0,4920,46
